objectid,aão,tmean_weighted,cld_weighted,frs_weighted,vap_weighted,wet_weighted,total_bin_1_tmean,total_bin_2_tmean,total_bin_3_tmean,total_bin_4_tmean,total_bin_5_tmean,total_eq_tmean_bin_1,total_eq_tmean_bin_2,total_eq_tmean_bin_3,total_eq_tmean_bin_4,total_eq_tmean_bin_5,total_sd_tmean_bin_1,total_sd_tmean_bin_2,total_sd_tmean_bin_3,total_sd_tmean_bin_4,total_sd_tmean_bin_5,population,income_grp,region_un,subregion,region_wb,precipitation_weighted,pi0,pi1,pi2,country_standard,pm25,gdppc,deathr,medianage,año_by_country,lngdppc,lnpm25,ssp126bin1,ssp126bin2,ssp126bin3,ssp126bin4,ssp126bin5,ssp245bin1,ssp245bin2,ssp245bin3,ssp245bin4,ssp245bin5,ssp585bin1,ssp585bin2,ssp585bin3,ssp585bin4,ssp585bin5,dd_ssp126,dd_ssp245,dd_ssp585,d1_ssp126,d1_ssp245,d1_ssp585,d2_ssp126,d2_ssp245,d2_ssp585,d3_ssp126,d3_ssp245,d3_ssp585,d4_ssp126,d4_ssp245,d4_ssp585,d5_ssp126,d5_ssp245,d5_ssp585
1,2017,26.670549,65.525505,.000095846008,28.068611,13.658998,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,193312624,4. Lower middle income,Asia,South-Eastern Asia,East Asia & Pacific,2768.5203,17.67,19.26,16,Indonesia,20.799999,3591.78,7.579,28.358999,2017,8.1864033,3.0349529,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2014,26.632534,65.048576,.00010374175,28.242838,12.396704,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,193312624,4. Lower middle income,Asia,South-Eastern Asia,East Asia & Pacific,2277.0837,16.98,18.08,15.8,Indonesia,24,3203.4844,7.4299998,27.615,2014,8.0719948,3.1780539,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2008,26.38545,65.65049,.00026209987,28.103428,12.825632,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,193312624,4. Lower middle income,Asia,South-Eastern Asia,East Asia & Pacific,2489.2974,15.98,16.18,15.66,Indonesia,18.9,2487.6113,7.4099998,26.021,2008,7.8190784,2.939162,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2011,26.481213,65.406433,.00010543814,28.297169,12.481123,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,193312624,4. Lower middle income,Asia,South-Eastern Asia,East Asia & Pacific,2380.9226,16.43,17.08,15.68,Indonesia,23.4,2826.4805,7.4559999,26.856001,2011,7.9467874,3.1527359,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2013,26.701952,65.578697,.00014427482,28.615297,13.56065,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,193312624,4. Lower middle income,Asia,South-Eastern Asia,East Asia & Pacific,2642.3826,16.780001,17.73,15.75,Indonesia,20.200001,3086.323,7.4569998,27.365999,2013,8.0347357,3.0056827,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2010,26.727596,65.871262,.000034512199,28.236309,15.518164,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,193312624,4. Lower middle income,Asia,South-Eastern Asia,East Asia & Pacific,3377.4204,16.27,16.780001,15.66,Indonesia,20.299999,2695.8682,7.4060001,26.587999,2010,7.8994756,3.0106208,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2007,26.493803,65.387375,.00010921679,28.501225,13.204862,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,193312624,4. Lower middle income,Asia,South-Eastern Asia,East Asia & Pacific,2596.917,15.83,15.88,15.68,Indonesia,19.5,2377.2549,7.3140001,25.735001,2007,7.7737017,2.9704144,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2006,26.29571,65.248222,.00011763073,27.760736,11.71305,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,193312624,4. Lower middle income,Asia,South-Eastern Asia,East Asia & Pacific,2260.6379,15.7,15.58,15.71,Indonesia,26.5,2264.9358,7.323,25.447001,2006,7.7253017,3.2771447,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2000,26.462973,65.52449,.00020669741,28.229881,13.336004,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,193312624,4. Lower middle income,Asia,South-Eastern Asia,East Asia & Pacific,2646.1182,15.18,14.05,16.18,Indonesia,17.5,1845.2278,7.3829999,23.606001,2000,7.5203581,2.862201,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
1,2020,26.820818,65.206253,.000077702978,28.038673,14.062808,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,193312624,4. Lower middle income,Asia,South-Eastern Asia,East Asia & Pacific,2889.0718,18.440001,20.57,16.24,Indonesia,19.700001,3780.1216,8.9639997,29.132,2020,8.2375116,2.9806187,0,0,0,12,0,0,0,0,12,0,0,0,0,10,2,.91723061,1.1140385,1.5063782,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,2
