bin,coef,ci_lower,ci_upper,model,outcome
1,0,0,0,1,PI2
2,2.1252396,.91112465,3.3393543,1,PI2
3,1.1510184,.18321751,2.1188195,1,PI2
4,1.5297457,.75669813,2.3027933,1,PI2
5,2.0596955,.84239137,3.2769995,1,PI2
1,0,0,0,2,PI2
2,-.23988959,-.71070844,.23092927,2,PI2
3,-.031055121,-.64701486,.58490467,2,PI2
4,.89818317,.019004662,1.7773616,2,PI2
5,1.9409541,.81838703,3.0635211,2,PI2
1,0,0,0,3,PI2
2,-.085366331,-.71726435,.54653168,3,PI2
3,.24759625,-.46577364,.96096617,3,PI2
4,1.2320461,.22755384,2.2365384,3,PI2
5,2.2527492,.97159481,3.5339036,3,PI2
1,0,0,0,4,PI2
2,-.19993582,-.77428573,.37441409,4,PI2
3,.12311496,-.50160402,.74783397,4,PI2
4,.81277174,-.095955789,1.7214992,4,PI2
5,1.7494912,.64011663,2.8588657,4,PI2
1,0,0,0,5,PI2
2,-.20566075,-.78573745,.37441599,5,PI2
3,.12184517,-.50901687,.75270718,5,PI2
4,.77305514,-.15662675,1.702737,5,PI2
5,1.6896771,.5239349,2.8554194,5,PI2
